,states,14 Mar 2020,15 Mar 2020,16 Mar 2020,17 Mar 2020,18 Mar 2020,19 Mar 2020,20 Mar 2020,21 Mar 2020,22 Mar 2020,23 Mar 2020,24 Mar 2020,25 Mar 2020,26 Mar 2020,27 Mar 2020,28 Mar 2020,29 Mar 2020,30 Mar 2020,31 Mar 2020,01 Apr 2020,02 Apr 2020,03 Apr 2020,04 Apr 2020,05 Apr 2020,06 Apr 2020,07 Apr 2020,08 Apr 2020,09 Apr 2020,10 Apr 2020,11 Apr 2020,12 Apr 2020,13 Apr 2020,14 Apr 2020,15 Apr 2020,16 Apr 2020,17 Apr 2020,18 Apr 2020,19 Apr 2020,20 Apr 2020,21 Apr 2020,22 Apr 2020,23 Apr 2020,24 Apr 2020,25 Apr 2020,26 Apr 2020,27 Apr 2020,28 Apr 2020,29 Apr 2020,30 Apr 2020,01 May 2020,02 May 2020,03 May 2020,04 May 2020,05 May 2020,06 May 2020,07 May 2020,08 May 2020,09 May 2020,10 May 2020,11 May 2020,12 May 2020,13 May 2020,14 May 2020,15 May 2020,16 May 2020,17 May 2020,18 May 2020,19 May 2020,20 May 2020,21 May 2020,22 May 2020,23 May 2020,24 May 2020,25 May 2020,26 May 2020,27 May 2020,28 May 2020,29 May 2020,30 May 2020,31 May 2020,01 Jun 2020,02 Jun 2020,03 Jun 2020,04 Jun 2020,05 Jun 2020,06 Jun 2020,07 Jun 2020,08 Jun 2020,09 Jun 2020,10 Jun 2020,11 Jun 2020,12 Jun 2020,13 Jun 2020,14 Jun 2020,15 Jun 2020,16 Jun 2020,17 Jun 2020,18 Jun 2020,19 Jun 2020,20 Jun 2020,21 Jun 2020,22 Jun 2020,23 Jun 2020,24 Jun 2020,25 Jun 2020,26 Jun 2020,27 Jun 2020,28 Jun 2020,29 Jun 2020,30 Jun 2020,01 Jul 2020,02 Jul 2020,03 Jul 2020,04 Jul 2020,05 Jul 2020,06 Jul 2020,07 Jul 2020,08 Jul 2020,09 Jul 2020,10 Jul 2020,11 Jul 2020,12 Jul 2020,13 Jul 2020,14 Jul 2020,15 Jul 2020,16 Jul 2020,17 Jul 2020,18 Jul 2020,19 Jul 2020,20 Jul 2020,21 Jul 2020,22 Jul 2020,23 Jul 2020,24 Jul 2020,25 Jul 2020,26 Jul 2020,27 Jul 2020,28 Jul 2020,29 Jul 2020,30 Jul 2020,31 Jul 2020,01 Aug 2020,02 Aug 2020,03 Aug 2020,04 Aug 2020,05 Aug 2020,06 Aug 2020,07 Aug 2020,08 Aug 2020,09 Aug 2020,10 Aug 2020,11 Aug 2020,12 Aug 2020,13 Aug 2020,14 Aug 2020,15 Aug 2020,16 Aug 2020,17 Aug 2020,18 Aug 2020,19 Aug 2020,20 Aug 2020,21 Aug 2020,22 Aug 2020,23 Aug 2020,24 Aug 2020,25 Aug 2020,26 Aug 2020,27 Aug 2020,28 Aug 2020,29 Aug 2020,30 Aug 2020,31 Aug 2020,01 Sep 2020,02 Sep 2020,03 Sep 2020,04 Sep 2020,05 Sep 2020,06 Sep 2020,07 Sep 2020,08 Sep 2020,09 Sep 2020,10 Sep 2020,11 Sep 2020,12 Sep 2020,13 Sep 2020,14 Sep 2020,15 Sep 2020,16 Sep 2020,17 Sep 2020,18 Sep 2020,19 Sep 2020,20 Sep 2020,21 Sep 2020,22 Sep 2020,23 Sep 2020,24 Sep 2020,25 Sep 2020,26 Sep 2020
14,Haryana,14,14,14,15,16,17,19,21,21,28,30,31,32,33,35,35,36,43,43,49,58,84,90,110,143,167,170,176,179,195,196,198,204,215,223,232,250,251,255,264,270,275,287,296,301,308,311,339,357,376,442,517,548,594,625,647,675,703,730,780,793,818,854,887,910,928,964,993,1030,1067,1131,1184,1213,1305,1381,1504,1721,1923,2091,2356,2652,2954,3281,3597,3952,4448,4854,5209,5579,5968,6334,6749,7208,7722,8272,8832,9218,9743,10223,10635,11025,11520,12010,12463,12884,13427,13829,14210,14548,14941,15509,16003,16548,17005,17504,17999,18690,19364,19934,20582,21240,21929,22628,23306,24002,24797,25547,26164,26858,27462,28186,28975,29755,30538,31332,32127,32876,33631,34254,34965,35758,36519,37173,37796,38548,39303,40054,40843,41635,42429,43227,44024,44817,45614,46410,47153,48040,48936,49930,50926,52129,53290,54386,55460,56608,58005,59298,60596,61987,63282,64732,66426,68218,70099,71983,74272,76549,78773,81059,83353,85944,88332,91115,93641,96129,98622,101316,103773,106261,108952,111257,113075,114870,116856,118554,120578,122267
15,Madhya Pradesh,0,0,0,0,0,0,4,4,6,6,7,15,20,29,39,39,47,66,98,107,154,179,193,256,290,341,411,451,529,562,614,741,938,1164,1310,1402,1407,1485,1552,1587,1687,1846,1945,2090,2165,2387,2560,2625,2715,2788,2837,2942,3049,3138,3252,3341,3457,3614,3785,3986,4173,4426,4595,4790,4977,5236,5465,5735,5981,6170,6371,6665,6859,7024,7261,7453,7645,7891,8089,8283,8420,8588,8762,8996,9228,9401,9638,9849,10049,10241,10443,10641,10802,10935,11083,11244,11426,11582,11724,11903,12078,12261,12448,12595,12798,12965,13186,13370,13593,13861,14106,14297,14604,14930,15284,15627,16036,16341,16657,17201,17632,18207,19005,19643,20378,21082,21763,22600,23310,24095,24842,25474,26210,26926,27800,28589,29217,30134,30968,31806,32614,33535,34285,35082,35734,36564,37298,38157,39025,39891,40734,41604,42618,43414,44433,45455,46385,47375,48351,49493,50640,51866,53129,54421,55800,56864,58181,59433,60875,62433,63965,65490,66914,68586,70244,71880,73574,75459,77323,79192,81379,83619,85966,88247,90730,93053,95515,97906,100458,103065,105644,108167,110711,113057,115361,117588,119899
16,Punjab,1,1,1,1,2,2,3,13,21,23,29,31,33,38,38,38,41,42,46,47,53,65,68,79,99,106,130,151,158,170,176,184,186,197,211,234,244,245,251,278,283,298,308,322,330,342,375,480,585,772,1102,1232,1451,1526,1644,1731,1762,1823,1877,1914,1924,1935,1932,1946,1964,1980,2002,2005,2028,2029,2045,2060,2081,2106,2139,2158,2197,2233,2263,2301,2342,2376,2415,2461,2515,2608,2663,2719,2805,2887,2986,3063,3140,3267,3371,3497,3615,3832,3952,4074,4235,4397,4627,4769,4957,5056,5216,5418,5568,5668,5784,5937,6109,6283,6491,6749,6907,7140,7357,7587,7821,8178,8511,8799,9094,9442,9792,10100,10510,10889,11301,11739,12216,12684,13218,13769,14378,14946,15456,16119,17063,17853,18527,19015,19856,20891,21930,22928,23903,24889,25889,26909,27936,29013,30041,31206,32695,34400,36083,37824,39327,40643,41779,43284,44577,46090,47836,49378,50848,52526,53992,55508,56989,58515,60013,61527,63473,65583,67547,69684,72143,74616,77057,79679,82100,84482,87184,90032,92806,95529,97689,99930,101341,103464,105220,107096,108684
17,Chhattisgarh,0,0,0,0,0,1,1,1,1,1,1,3,6,6,7,7,8,9,9,9,9,10,10,10,10,10,18,18,25,31,31,33,33,36,36,36,36,36,36,36,36,36,37,37,37,38,38,40,43,43,57,58,59,59,59,59,59,59,59,59,59,60,66,67,85,95,100,114,128,172,214,252,292,360,364,398,415,447,498,547,562,626,773,863,923,1073,1197,1211,1262,1398,1445,1550,1671,1715,1784,1864,1946,2018,2134,2255,2302,2385,2419,2456,2545,2610,2694,2795,2858,2940,3013,3065,3161,3207,3305,3415,3526,3666,3832,3897,4081,4265,4379,4556,4754,5003,5246,5407,5598,5731,5999,6370,6819,7182,7613,7980,8286,8600,8856,9192,9427,9608,9820,10202,10497,11020,11408,11855,12148,12625,12985,13552,14030,14559,15045,15621,16025,16833,17585,18637,19510,20214,20918,22054,23341,24550,25988,27233,28746,30092,31503,33387,35683,37967,40634,43163,45263,47280,50114,52932,55680,58643,61763,63991,67327,70777,73966,77775,81617,84234,86183,88181,90917,93351,95623,98565,102461
18,Jharkhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,4,4,4,13,14,17,19,24,27,28,29,32,33,41,46,46,46,53,59,67,82,103,105,107,110,113,115,115,115,125,127,132,154,156,157,161,172,177,203,211,217,223,228,248,290,303,323,350,370,405,426,433,439,521,594,635,661,722,764,827,922,1028,1103,1290,1416,1551,1599,1656,1711,1763,1793,1839,1896,1919,1961,2024,2098,2140,2193,2219,2263,2294,2339,2364,2426,2490,2525,2585,2697,2739,2807,2854,3018,3134,3268,3518,3663,3760,3963,4225,4562,4783,5096,5385,5552,5777,6195,6682,7164,7564,7841,8349,8803,9563,9894,10399,11314,12104,12559,13500,14070,15048,15756,16482,17468,18156,18786,19469,20257,20950,22125,22672,23224,24067,25308,26275,26913,28171,29078,30153,31093,32149,33286,34651,35788,37087,38410,41631,43808,44837,46455,48014,49772,51038,52595,55271,56872,58054,59015,60435,61449,62712,64414,66049,67075,68553,69835,71327,72648,73923,75064,76413,77684,78910
19,Jammu and Kashmir,2,2,3,3,4,4,4,4,4,4,6,11,14,20,33,38,49,55,62,70,75,92,106,109,125,158,184,207,224,245,270,278,300,314,328,341,354,368,380,407,434,454,494,523,546,565,581,614,639,666,701,726,741,775,793,823,836,861,879,934,971,983,1013,1121,1183,1289,1317,1390,1449,1489,1569,1621,1668,1759,1921,2036,2164,2341,2446,2601,2718,2857,3142,3324,3467,4087,4285,4346,4507,4574,4730,4878,5041,5220,5298,5406,5555,5680,5834,5956,6088,6236,6422,6549,6762,6966,7093,7237,7497,7695,7849,8019,8246,8429,8675,8931,9261,9501,9888,10156,10513,10827,11173,11666,12156,12757,13198,13899,14650,15258,15711,16429,16782,17305,17920,18390,18879,19419,19869,20359,20972,21416,22006,22396,22955,23454,23927,24390,24897,25367,25931,26413,26949,27489,28021,28470,28892,29326,30034,30717,31371,31981,32647,33075,33776,34480,35135,35831,36377,37163,37698,38223,38864,39943,40990,42241,43557,44570,45925,47542,49134,50712,52410,54096,55325,56654,58244,59711,61041,62533,63990,65026,66261,67510,68614,69832,71049
20,Uttarakhand,0,0,1,1,2,3,3,3,3,4,4,5,5,5,6,7,7,7,7,10,16,22,26,31,31,35,35,35,35,35,35,37,37,37,40,42,44,46,46,46,47,48,48,51,51,54,55,57,57,59,60,60,61,61,61,63,67,68,68,69,72,78,82,91,92,96,111,126,145,153,244,317,349,400,469,500,716,749,907,959,1043,1085,1153,1215,1303,1355,1411,1537,1562,1655,1724,1785,1819,1845,1942,2023,2103,2177,2301,2344,2402,2535,2623,2691,2725,2791,2823,2831,2881,2947,2984,3048,3093,3124,3161,3230,3258,3305,3373,3417,3537,3608,3686,3785,3982,4102,4276,4515,4642,4849,5300,5445,5717,5961,6104,6328,6587,6866,7065,7183,7447,7593,7800,8008,8254,8623,8901,9402,9632,10021,10432,10886,11302,11615,11940,12175,12493,12961,13225,13636,14083,14566,15124,15529,16014,16549,17277,17865,18571,19235,19827,20398,21234,22180,23011,23961,24629,25436,26094,27211,28226,29221,30336,31973,33016,34407,35947,37139,38007,40085,40963,41777,42651,43720,44404,45332,46281
21,Goa,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,5,5,5,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,15,15,20,29,38,46,50,52,54,55,66,67,67,68,69,69,70,71,73,79,126,166,196,267,300,330,359,387,417,463,523,564,592,629,656,705,725,754,818,864,909,951,995,1039,1128,1198,1251,1315,1387,1482,1576,1684,1761,1813,1903,2039,2151,2251,2368,2453,2583,2753,2951,3108,3304,3484,3657,3853,4027,4176,4350,4540,4686,4861,5119,5287,5489,5704,5913,6193,6530,6816,7075,7423,7614,7947,8206,8712,9029,9444,9924,10494,10970,11339,11639,11994,12333,12675,13099,13484,13790,13999,14138,14530,15027,15483,16006,16553,17004,17418,18006,18642,19355,19863,20455,20829,21173,21630,22251,22890,23445,24185,24592,24898,25511,26139,26783,27379,28022,28429,28753,29343,29879,30552,31071,31071
22,Puducherry,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,10,10,12,12,12,13,16,16,17,17,17,22,23,23,26,26,41,49,49,49,53,57,57,70,79,79,90,99,104,107,119,128,132,144,157,163,176,194,202,216,245,271,287,338,366,383,402,461,502,534,619,648,690,714,739,802,824,904,946,1011,1043,1153,1202,1274,1339,1420,1470,1533,1598,1745,1834,1892,2001,2094,2181,2302,2422,2517,2656,2789,2874,3013,3179,3300,3474,3608,3808,3984,4149,4435,4623,4864,5125,5384,5626,5902,6383,6682,6997,7356,7734,8031,8398,8754,9294,9596,10114,10524,10861,11428,11932,12436,13026,13558,14129,14413,14768,15159,15583,16174,16568,17034,17318,17751,18086,18538,19028,19447,19835,20228,20603,21113,21430,21915,22458,22925,23193,23686,24229,24897,25491,26034
23,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,5,17,30,43,65,89,119,136,152,152,154,155,156,156,167,165,165,173,173,175,175,191,194,198,232,242,244,254,271,316,423,471,622,646,694,749,802,840,866,897,922,963,1046,1079,1089,1090,1133,1154,1181,1189,1224,1240,1263,1263,1295,1330,1339,1351,1385,1393,1401,1440,1533,1558,1581,1692,1716,1773,1789,1931,1962,2067,2093,2183,2281,2379,2497,2668,2891,3093,3345,3471,3677,3777,3882,3919,4066,4287,4503,4722,4996,5248,5389,5389,5520,5642,5740,5868,6014,6161,6223,6387,6497,6618,6782,6949,7076,7219,7424,7660,7850,8106,8386,8717,8917,9210,9539,9924,10433,10876,11323,11644,12153,12719,13309,13833,14524,15127,15526,16154,16736,17271,17830,18300,18929,19184,19715,20169,20696,20969,21504,22029,22272,22831,23335,23786,24127,24405
24,Himachal Pradesh,0,0,0,0,0,0,2,2,2,3,3,3,3,3,3,3,3,3,3,6,6,13,14,18,27,27,28,28,32,32,32,33,35,35,38,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,41,42,43,46,50,52,58,59,67,68,74,76,78,80,90,92,110,152,168,185,203,223,247,273,281,295,313,331,340,345,359,383,393,400,411,421,437,451,470,486,502,518,556,560,585,595,627,656,673,727,775,806,839,864,894,916,942,953,979,1014,1033,1046,1063,1077,1083,1101,1140,1171,1182,1213,1243,1309,1341,1377,1417,1457,1521,1631,1664,1725,1834,1954,2049,2176,2270,2330,2403,2506,2564,2634,2703,2818,2879,2916,3047,3150,3264,3371,3463,3497,3636,3816,3874,3993,4156,4174,4235,4411,4538,4728,4895,5001,5101,5154,5321,5501,5637,5781,5945,6116,6255,6416,6615,6830,7018,7415,7660,7831,8147,8466,8784,9229,9555,9923,10335,10795,11190,11622,11908,12129,12438,12769,13049,13386,13679,13996
25,Chandigarh,0,0,0,0,0,1,5,5,6,7,7,7,7,8,8,8,13,15,17,18,18,18,18,18,18,18,18,19,19,21,21,21,21,21,21,23,26,26,27,27,27,27,28,36,45,56,68,74,88,94,97,102,119,124,135,146,169,173,181,187,191,191,191,191,191,196,199,202,218,219,225,262,266,278,279,289,289,289,293,297,301,301,302,309,312,314,320,326,328,332,345,350,352,357,365,370,374,381,404,406,411,418,420,423,425,428,431,434,440,446,450,454,459,466,487,492,507,523,536,549,559,588,600,619,635,660,691,717,737,751,780,800,823,852,887,910,934,978,1016,1051,1079,1117,1160,1206,1270,1327,1374,1426,1515,1595,1670,1751,1842,1928,2009,2102,2216,2305,2396,2515,2631,2776,2918,3035,3209,3376,3564,3724,3985,4155,4346,4550,4789,5065,5268,5502,5763,5995,6372,6704,6987,7292,7542,7991,8245,8592,8958,9246,9506,9796,10082,10298,10546,10726,10968,11212,11380
26,Manipur,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,7,7,7,9,25,25,26,29,32,36,39,44,55,59,60,71,83,89,108,124,132,157,172,272,304,311,366,385,449,458,490,500,552,606,681,777,841,898,921,970,1056,1075,1092,1185,1227,1234,1260,1279,1316,1325,1366,1390,1430,1435,1450,1582,1593,1609,1626,1672,1700,1764,1800,1891,1911,1925,2015,2060,2115,2146,2176,2235,2286,2317,2458,2505,2621,2756,2831,2920,3018,3093,3217,3466,3635,3753,3853,3941,3982,4112,4198,4390,4569,4687,4765,4876,4925,5049,5132,5246,5362,5444,5585,5725,5843,5960,6112,6252,6382,6507,6609,6699,6883,7022,7106,7202,7362,7470,7579,7731,7875,7971,8210,8320,8430,8607,8724,8894,9010,9280,9376,9537,9791,10051
27,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,4,4,22,24,34,39,43,45,48,54,54,58,64,83,88,91,95,99,103,103,135,135,139,148,158,160,172,174,177,182,187,191,195,232,252,259,269,270,276,287,302,335,341,360,387,462,491,543,609,650,740,790,858,949,991,1056,1126,1158,1239,1330,1410,1484,1591,1674,1698,1758,1790,1855,1948,2049,2117,2155,2231,2327,2430,2512,2607,2658,2701,2741,2875,2950,3066,3126,3223,3263,3312,3412,3555,3633,3745,3877,4034,4112,4212,4360,4574,4775,4914,5000,5180,5401,5545,5672,5825,5961,6121,6297,6466,6692,6851,7005,7250,7385,7595,7844,8133,8416,8671,8869
28,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,18,25,36,43,43,49,58,80,107,107,116,122,127,128,130,156,163,173,177,179,193,193,198,201,211,280,330,347,355,371,387,415,451,459,501,535,539,563,590,625,644,657,673,732,748,774,845,896,902,916,956,978,988,1021,1030,1084,1174,1239,1289,1339,1385,1460,1513,1566,1693,1831,1935,2129,2405,2498,2580,2657,2688,2781,3011,3031,3118,3168,3322,3340,3394,3455,3520,3558,3583,3619,3635,3686,3714,3752,3778,3784,3805,3851,3922,3950,4003,4017,4066,4107,4128,4178,4220,4245,4375,4636,4946,5064,5083,5214,5229,5263,5306,5357,5392,5451,5544,5604,5671,5730,5768,5862
29,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,9,9,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,15,20,20,21,27,27,27,28,30,33,33,33,33,36,39,43,44,44,44,44,44,44,44,43,43,43,43,43,45,46,46,46,48,48,50,51,53,55,58,62,70,72,88,94,100,113,186,262,295,316,318,337,377,403,418,450,469,490,514,534,587,646,702,738,779,784,803,823,856,874,902,917,939,990,1006,1023,1062,1115,1142,1179,1193,1228,1292,1374,1418,1457,1535,1661,1718,1811,1917,1976,2018,2050,2130,2240,2283,2343,2368,2440,2517,2626,2734,2916,3005,3034,3076,3197,3296,3447,3615,3724,3863,4037,4195,4357,4447,4559,4660,4733,4791,4961,5083,5158,5212
30,Ladakh,0,0,0,0,8,8,10,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,15,15,15,17,17,18,18,18,18,18,18,18,18,18,18,20,20,20,22,22,22,22,23,42,42,42,42,42,42,42,42,42,42,43,43,43,43,43,43,43,44,44,46,49,52,53,53,54,74,74,77,77,77,81,90,94,97,99,103,103,108,115,135,239,437,549,555,649,687,687,744,836,837,847,932,932,941,946,960,963,964,973,990,991,1002,1005,1005,1005,1041,1047,1055,1064,1077,1086,1093,1128,1142,1147,1151,1159,1178,1195,1198,1206,1210,1246,1276,1285,1306,1327,1347,1378,1404,1462,1466,1485,1534,1592,1595,1614,1639,1688,1717,1770,1811,1849,1879,1909,1948,1966,2010,2048,2077,2133,2210,2279,2330,2420,2451,2492,2540,2603,2638,2681,2733,2785,2840,2935,2996,3036,3064,3102,3142,3177,3228,3294,3345,3419,3499,3535,3576,3635,3708,3753,3832,3887,3933,3969,4025,4093
31,Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,1,6,9,9,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,12,14,15,16,17,18,22,29,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,35,38,38,38,40,41,44,44,45,47,47,48,48,50,56,58,72,72,83,90,97,100,109,116,119,125,141,147,149,156,156,156,163,166,171,176,180,180,184,199,203,208,217,236,255,286,314,334,359,424,466,544,632,730,826,924,1023,1119,1218,1347,1486,1621,1760,1896,2033,2182,2302,2395,2441,2525,2600,2676,2743,2804,2856,2900,2941,2981,3014,3046,3077,3100,3128,3156,3182,3219,3253,3288,3328,3355,3388,3422,3461,3490,3517,3542,3553,3570,3589,3600,3627,3640,3647,3669,3687,3708,3740,3755,3770
32,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,11,14,14,19,20,22,24,29,30,30,35,39,39,54,59,63,77,94,99,114,123,136,156,171,186,190,205,215,231,256,306,343,375,402,429,444,458,472,486,502,527,543,560,578,610,655,692,713,741,777,822,866,903,952,988,1032,1070,1105,1151,1196,1251,1286,1329,1374,1417,1461,1512,1557,1619,1658,1697,1743,1784,1848,1883,1910,1961,1998,2032,2085,2125,2161,2179,2200,2222,2264,2295,2310,2342,2369,2388,2432,2461,2512,2533,2571,2586,2613,2639,2667,2692,2721,2741,2765,2783,2810,2831,2859,2887,2924,2933,2944,2962,2977,2989,2996
33,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,3,7,7,7,13,13,13,63,63,68,68,68,70,70,70,70,78,78,79,83,85,87,87,88,88,88,89,101,102,103,125,125,127,133,134,134,160,164,166,211,222,235,267,286,296,318,343,451,473,490,512,558,568,592,609,623,652,663,671,701,796,813,842,867,873,879,923,926,943,944,1093,1161,1180,1200,1220,1245,1303,1349,1394,1416,1459,1488,1499,1555,1589,1615,1640,1665,1683,1717,1751,1856,1914,1923,1952,1971,2002,2022,2039,2068,2099,2132,2186,2234,2287,2316,2355,2404,2460,2526,2561,2625,2717,2765
34,Mizoram,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,14,17,24,24,34,42,88,93,102,104,110,112,117,121,121,130,130,140,141,142,142,145,145,147,150,151,151,160,160,162,162,164,186,197,198,203,203,226,227,231,233,238,238,272,282,284,284,297,297,317,326,332,361,361,361,384,395,408,408,413,470,496,502,505,538,559,567,608,620,623,648,649,657,713,777,789,815,860,874,895,903,918,918,953,967,974,1003,1003,1008,1011,1012,1020,1040,1046,1062,1093,1114,1123,1192,1333,1353,1379,1414,1428,1468,1480,1506,1534,1548,1578,1585,1691,1713,1759,1786,1835
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
